"","","","","","","","","","","","","","","","","","","","","","","","","",""
"3/20/2013","2.9421","615.7800","0.0875","145.0600","2.8802","516.4682","22.0800","26.3800","16.7100","21.2861","30.4600","14.1000","2.4181","7.0000","0.2000","0.0000","0.0000","0.0000","89.8762","143.8518","35.9321","180.0656","359.8427","0.2637","|"
"3/21/2013","6.7647","972.5800","8.4320","959.7200","1.5676","238.5591","20.9794","28.1300","13.4100","19.4868","44.7800","5.0750","3.0300","11.3300","0.2000","0.0000","0.0000","0.0000","89.5786","143.4524","35.5375","180.1399","359.9690","0.3862","|"
"3/22/2013","6.8204","959.0400","8.1355","930.3800","1.7851","234.8287","20.0339","25.9600","15.3400","9.3246","18.3600","4.0110","3.7795","9.8800","0.2000","0.0000","0.0000","0.0000","89.2809","143.0532","35.1432","179.9646","359.6804","0.0937","|"
"3/23/2013","6.8923","972.5500","8.4011","943.5600","1.6342","208.6328","13.2328","20.3500","8.9100","14.5917","22.4500","7.8400","2.9015","7.2100","0.2000","0.0000","0.0000","0.0000","88.9839","142.6544","34.7495","180.0397","359.8071","0.2167","|"
"3/24/2013","6.7903","954.8500","8.8570","963.7100","1.3152","231.0820","15.2058","24.8000","6.4390","14.8715","26.9600","6.9500","1.2443","4.1000","0.2000","0.0000","0.0000","0.0000","88.6870","142.2561","34.3564","180.1150","359.9320","0.3379","|"
"3/25/2013","6.2098","1019.5000","5.8414","935.5700","2.4654","379.1612","18.5028","27.4700","8.7600","15.3826","30.3200","8.6600","1.2300","4.2620","0.2000","0.0000","0.0000","0.0000","88.3911","141.8583","33.9637","179.9405","359.6525","0.0548","|"
"3/26/2013","3.9354","1195.4000","1.1830","794.3300","3.2639","585.3760","21.1955","29.7900","13.5600","17.0215","30.1100","7.4900","1.8260","6.6380","0.2000","0.0000","0.0000","0.0000","88.0954","141.4612","33.5720","180.0162","359.7768","0.1755","|"
"3/27/2013","5.2896","1074.8000","4.0071","921.8000","2.8438","539.9205","22.2536","28.3300","16.7500","21.7410","31.8000","12.3100","2.0775","6.4000","0.2000","0.0000","0.0000","0.0000","87.8011","141.0648","33.1812","180.0917","359.8988","0.2940","|"
"3/28/2013","5.5631","1063.8000","4.3130","898.3600","2.5184","431.7474","22.2129","30.5500","16.4400","26.0896","42.1400","14.3800","1.9528","5.2250","0.2000","0.0000","0.0000","0.0000","87.5072","140.6693","32.7912","179.9172","359.6266","0.0184","|"
"3/29/2013","6.7490","938.6100","8.3932","912.8800","1.4065","229.4990","23.3113","32.0500","13.6400","21.7594","42.1600","12.2800","1.6802","5.2630","0.2000","0.0000","0.0000","0.0000","87.2138","140.2747","32.4022","179.9925","359.7471","0.1356","|"
